fii_name,property_name,state,area,date_process
GGRC11,AMBEV PELOTAS,Estado: Rio Grande do Sul,"Área bruta locável: 9.912,60 m²",2024-11-09
GGRC11,MOINHO - CASCAVEL,Estado: Paraná,"Área bruta locável: 6.111,64 m²",2024-11-09
GGRC11,CAMARGO EMBALAGENS,Estado: São Paulo,"Área bruta locável: 14.428,42 m²",2024-11-09
GGRC11,MOINHO – SÃO MIGUEL DO IGUAÇU,Estado: Paraná,"Área bruta locável: 7.164,00 m²",2024-11-09
GGRC11,CEPALGO EMBALAGENS FLEXÍVEIS LTDA,Estado: Goiás,"Área bruta locável: 10.998,00 m²",2024-11-09
GGRC11,SUZANO,Estado: São Paulo,"Área bruta locável: 28.657,00 m²",2024-11-09
GGRC11,COPOBRÁS IND. E COMÉRCIO DE EMBALAGENS LTDA,Estado: Paraíba,"Área bruta locável: 22.360,06 m²",2024-11-09
GGRC11,TODIMO,Estado: Mato Grosso,"Área bruta locável: 23.049,68 m²",2024-11-09
GGRC11,EAGLEBURGMANN,Estado: São Paulo,"Área bruta locável: 3.218,67 m²",2024-11-09
GGRC11,AMBEV GUARULHOS,Estado: São Paulo,"Área bruta locável: 13.484,34 m²",2024-11-09
GGRC11,BENTELER,Estado: Pernambuco,"Área bruta locável: 15.163,00 m²",2024-11-09
GGRC11,SANTA CRUZ,Estado: Goiás,"Área bruta locável: 10.202,09 m²",2024-11-09
GGRC11,AMERICANAS UBERLÂNDIA,Estado: Minas Gerais,"Área bruta locável: 89.188,00 m²",2024-11-09
GGRC11,RIZOBACTER,Estado: Paraná,"Área bruta locável: 11.118,43 m²",2024-11-09
GGRC11,GRUPO CB/ASSAI ATACADISTA,Estado: Rio de Janeiro,"Área bruta locável: 145.578,00 m²",2024-11-09
GGRC11,DAFITI,Estado: Minas Gerais,"Área bruta locável: 76.878,00 m²",2024-11-09
ALZR11,AIR LIQUIDE,Estado: São Paulo,"Área bruta locável: 5.008,00 m²",2024-11-09
ALZR11,BRF GUARULHOS,Estado: São Paulo,"Área bruta locável: 3.763,00 m²",2024-11-09
ALZR11,APTIV,Estado: São Paulo,"Área bruta locável: 18.591,00 m²",2024-11-09
ALZR11,IPG,Estado: São Paulo,"Área bruta locável: 4.516,00 m²",2024-11-09
ALZR11,ATENTO,Estado: Rio de Janeiro,"Área bruta locável: 8.178,00 m²",2024-11-09
ALZR11,SANTILLANA,Estado: São Paulo,"Área bruta locável: 9.261,00 m²",2024-11-09
ALZR11,BRF BAURU,Estado: São Paulo,"Área bruta locável: 3.840,00 m²",2024-11-09
ALZR11,DASA ASCENDINO REIS,Estado: São Paulo,"Área bruta locável: 2.284,00 m²",2024-11-09
ALZR11,DASA SUMARÉ,Estado: São Paulo,"Área bruta locável: 5.227,00 m²",2024-11-09
ALZR11,DECATHLON MORUMBI,Estado: São Paulo,"Área bruta locável: 8.765,00 m²",2024-11-09
ALZR11,GLOBO,Estado: Rio de Janeiro,"Área bruta locável: 3.879,00 m²",2024-11-09
ALZR11,PANDURATA,Estado: São Paulo,"Área bruta locável: 11.833,00 m²",2024-11-09
ALZR11,COCA-COLA SANTO ANDRÉ,Estado: São Paulo,"Área bruta locável: 12.753,00 m²",2024-11-09
ALZR11,SKY,Estado: São Paulo,"Área bruta locável: 4.027,00 m²",2024-11-09
ALZR11,DUPONT,Estado: São Paulo,"Área bruta locável: 19.026,00 m²",2024-11-09
ALZR11,PUERI DOMUS,Estado: São Paulo,"Área bruta locável: 8.016,00 m²",2024-11-09
ALZR11,LOJA OBA SÃO BERNARDO DO CAMPO,Estado: São Paulo,"Área bruta locável: 4.428,00 m²",2024-11-09
ALZR11,LOJA OBA SÃO JOSÉ DO RIO PRETO,Estado: São Paulo,"Área bruta locável: 2.722,00 m²",2024-11-09
ALZR11,CD OBA SUMARÉ,Estado: São Paulo,"Área bruta locável: 47.911,00 m²",2024-11-09
ALZR11,CD MERCADO LIVRE,Estado: São Paulo,"Área bruta locável: 38.383,00 m²",2024-11-09
TRXF11,EXTRA – PRAIA GRANDE,Estado: São Paulo,"Área bruta locável: 3.312,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – RECIFE,Estado: Pernambuco,"Área bruta locável: 24.438,00 m²",2024-11-09
TRXF11,EXTRA – RIO DAS OSTRAS,Estado: Rio de Janeiro,"Área bruta locável: 3.687,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – TERESINA,Estado: Piauí,"Área bruta locável: 12.611,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – CAMPINA GRANDE,Estado: Paraíba,"Área bruta locável: 12.170,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR – ARACAJÚ,Estado: Sergipe,"Área bruta locável: 2.187,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – CAMPINAS,Estado: São Paulo,"Área bruta locável: 4.159,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR – GOIÂNIA,Estado: Goiás,"Área bruta locável: 6.365,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – GOIÂNIA (1),Estado: Goiás,"Área bruta locável: 18.834,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – GOIÂNIA (2),Estado: Goiás,"Área bruta locável: 11.386,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR – GOIÂNIA,Estado: Goiás,"Área bruta locável: 5.290,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR – RIBEIRÃO PRETO,Estado: São Paulo,"Área bruta locável: 6.398,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – GOIÂNIA (3),Estado: Goiás,"Área bruta locável: 17.354,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR – SANTO ANDRÉ,Estado: São Paulo,"Área bruta locável: 4.816,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – JEQUIÉ,Estado: Bahia,"Área bruta locável: 10.535,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR – SÃO CAETANO DO SUL,Estado: São Paulo,"Área bruta locável: 8.718,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR – SÃO JOSÉ DO RIO PRETO,Estado: São Paulo,"Área bruta locável: 2.930,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – PAULO AFONSO,Estado: Bahia,"Área bruta locável: 12.098,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR – SÃO JOSÉ DO RIO PRETO,Estado: São Paulo,"Área bruta locável: 4.907,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – PIRACICABA,Estado: São Paulo,"Área bruta locável: 14.480,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR – SÃO PAULO,Estado: São Paulo,"Área bruta locável: 4.318,00 m²",2024-11-09
TRXF11,LOJA ASSAÍ – SANTO ANDRÉ,Estado: São Paulo,"Área bruta locável: 10.000,00 m²",2024-11-09
TRXF11,LOJA EXTRA – ARARUAMA,Estado: Rio de Janeiro,"Área bruta locável: 3.357,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR - SANTANA DE PARNAÍBA,Estado: São Paulo,"Área bruta locável: 7.442,00 m²",2024-11-09
TRXF11,LOJA PÃO DE AÇÚCAR - SÃO PAULO,Estado: São Paulo,"Área bruta locável: 4.708,00 m²",2024-11-09
